,Unnamed: 0,名称,总价,单价,产权信息,建筑面积,户型结构,建筑类型,建筑结构,装修,梯户比,供暖,电梯,区域,具体区域,厅,厨,卫,楼层类型,总层数,东,南,西,北,东南,东北,西南,西北,室
71,71,10号线角门东35号院四百多万小三居商品房诚心卖,438.0,50213.0,non_co_ownership,87.23,flat_floor,Banlou,mixed_structure,simple_decoration,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,high_floor,6,east,no,west,no,no,no,no,no,3
72,72,马家堡甲120号院 三居室 户型方正 南北通透,465.0,71254.0,non_co_ownership,65.26,flat_floor,Banlou,mixed_structure,simple_decoration,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,bottom_floor,6,no,south,no,north,no,no,no,no,3
73,73,马家堡角门两居室，近地铁，满五唯一,320.0,57338.0,non_co_ownership,55.81,flat_floor,Banlou,mixed_structure,hardcover,0.3333333333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,top_floor,6,no,south,no,north,no,no,no,no,2
74,74,马家堡角门全南向两居室满五唯一,275.0,54456.0,non_co_ownership,50.5,flat_floor,Banlou,mixed_structure,simple_decoration,0.3333333333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,high_floor,6,no,south,no,no,no,no,no,no,2
75,75,大红门35号院 南北通透 视野好 2001年板楼社区,435.0,54876.0,non_co_ownership,79.27,flat_floor,Banlou,mixed_structure,simple_decoration,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,top_floor,5,no,south,no,north,no,no,no,no,2
76,76,东向正规一居室 精装修 采光好,280.0,49392.0,co_ownership,56.69,flat_floor,tower,steel_concrete_structure,hardcover,0.14285714285714285,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,low_floor,18,east,no,no,no,no,no,no,no,1
77,77,角门路1号院 南北通透 采光亮,399.0,57818.0,non_co_ownership,69.01,flat_floor,Banlou,mixed_structure,simple_decoration,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,middle_floor,6,no,south,no,north,no,no,no,no,3
78,78,马家堡商圈 南北通透两居室 大客厅 随时签约 诚售,450.0,50364.0,non_co_ownership,89.35,flat_floor,Banlou,steel_concrete_structure,hardcover,0.2222222222222222,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,low_floor,14,no,south,no,north,no,no,no,no,2
79,79,马家堡 角门 大红门正规两居室东西方正格局出售,338.0,54306.0,non_co_ownership,62.24,flat_floor,Banlou,mixed_structure,simple_decoration,0.3333333333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,low_floor,6,east,no,west,no,no,no,no,no,2
80,80,马家堡角门地铁10号线      两居,390.0,52968.0,non_co_ownership,73.63,flat_floor,tower,mixed_structure,simple_decoration,0.25,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,low_floor,19,no,south,no,no,no,no,no,northwest,2
