id ,title,price, unit price,Property information,floor area,House structure,Building Type,Architectural structure,Interior design,ladder ratio,heating,elevator,District,Specific area,hall,kitchen,toilet,Floor type,total floors,east,south,west,north,east-south,east-north,west-south,west-north,room,Longtitude,Latitude,PublishTime,imgUrl,collected
71,10号线角门东35号院四百多万小三居商品房诚心卖,438,50213,non_co_ownership,87.23,flat_floor,Banlou,mixed_structure,simple_decoration,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,high_floor,6,east,no,west,no,no,no,no,no,3,115.73114219913799,39.194618169932056,None,None,FALSE
72,马家堡甲120号院 三居室 户型方正 南北通透,465,71254,non_co_ownership,65.26,flat_floor,Banlou,mixed_structure,simple_decoration,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,bottom_floor,6,no,south,no,north,no,no,no,no,3,115.14779101209933,39.09995314409686,None,None,FALSE
73,马家堡角门两居室，近地铁，满五唯一,320,57338,non_co_ownership,55.81,flat_floor,Banlou,mixed_structure,hardcover,0.333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,top_floor,6,no,south,no,north,no,no,no,no,2,116.71475767885943,40.760705566726074,None,None,FALSE
74,马家堡角门全南向两居室满五唯一,275,54456,non_co_ownership,50.5,flat_floor,Banlou,mixed_structure,simple_decoration,0.333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,high_floor,6,no,south,no,no,no,no,no,no,2,115.53834072142718,39.976461648748035,None,None,FALSE
75,大红门35号院 南北通透 视野好 2001年板楼社区,435,54876,non_co_ownership,79.27,flat_floor,Banlou,mixed_structure,simple_decoration,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,top_floor,5,no,south,no,north,no,no,no,no,2,115.43014511964515,40.91389726992283,None,None,FALSE
76,东向正规一居室 精装修 采光好,280,49392,co_ownership,56.69,flat_floor,tower,steel_concrete_structure,hardcover,0.142857143,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,low_floor,18,east,no,no,no,no,no,no,no,1,115.91399543440622,40.37431729227119,None,None,FALSE
77,角门路1号院 南北通透 采光亮,399,57818,non_co_ownership,69.01,flat_floor,Banlou,mixed_structure,simple_decoration,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,middle_floor,6,no,south,no,north,no,no,no,no,3,116.51201661213499,39.6385844420866,None,None,FALSE
78,马家堡商圈 南北通透两居室 大客厅 随时签约 诚售,450,50364,non_co_ownership,89.35,flat_floor,Banlou,steel_concrete_structure,hardcover,0.222222222,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,low_floor,14,no,south,no,north,no,no,no,no,2,115.31032928959617,39.338371674497196,None,None,FALSE
79,马家堡 角门 大红门正规两居室东西方正格局出售,338,54306,non_co_ownership,62.24,flat_floor,Banlou,mixed_structure,simple_decoration,0.333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,low_floor,6,east,no,west,no,no,no,no,no,2,116.53128954552416,39.075149193040396,None,None,FALSE
80,马家堡角门地铁10号线      两居,390,52968,non_co_ownership,73.63,flat_floor,tower,mixed_structure,simple_decoration,0.25,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,low_floor,19,no,south,no,no,no,no,no,northwest,2,115.58645038273517,40.22858006476112,None,None,FALSE
